CURRENT	MARKER_NUMBER	METHOD	MISSING_DATA	MEAN	SE	MIN	MAX	MEDIAN	QUANTILE25	QUANTILE75	SE_MIN	SE_MAX	SUBSAMPLE
north	50	ranked_thl_0.5	no.imputation	93	1.53	90	100	90	90	97.5	91.47	94.53	1
north	100	ranked_thl_0.5	no.imputation	93	1.53	90	100	90	90	97.5	91.47	94.53	1
north	200	ranked_thl_0.5	no.imputation	93	1.53	90	100	90	90	97.5	91.47	94.53	1
north	300	ranked_thl_0.5	no.imputation	93	1.53	90	100	90	90	97.5	91.47	94.53	1
north	400	ranked_thl_0.5	no.imputation	93	1.53	90	100	90	90	97.5	91.47	94.53	1
north	500	ranked_thl_0.5	no.imputation	93	1.53	90	100	90	90	97.5	91.47	94.53	1
north	1000	ranked_thl_0.5	no.imputation	93	1.53	90	100	90	90	97.5	91.47	94.53	1
north	15454	ranked_thl_0.5	no.imputation	93	1.53	90	100	90	90	97.5	91.47	94.53	1
south	50	ranked_thl_0.5	no.imputation	99	1	90	100	100	100	100	98	100	1
south	100	ranked_thl_0.5	no.imputation	99	1	90	100	100	100	100	98	100	1
south	200	ranked_thl_0.5	no.imputation	99	1	90	100	100	100	100	98	100	1
south	300	ranked_thl_0.5	no.imputation	99	1	90	100	100	100	100	98	100	1
south	400	ranked_thl_0.5	no.imputation	99	1	90	100	100	100	100	98	100	1
south	500	ranked_thl_0.5	no.imputation	99	1	90	100	100	100	100	98	100	1
south	1000	ranked_thl_0.5	no.imputation	99	1	90	100	100	100	100	98	100	1
south	15454	ranked_thl_0.5	no.imputation	99	1	90	100	100	100	100	98	100	1
OVERALL	50	ranked_thl_0.5	no.imputation	96	3	93	99	96	94.5	97.5	93	99	1
OVERALL	100	ranked_thl_0.5	no.imputation	96	3	93	99	96	94.5	97.5	93	99	1
OVERALL	200	ranked_thl_0.5	no.imputation	96	3	93	99	96	94.5	97.5	93	99	1
OVERALL	300	ranked_thl_0.5	no.imputation	96	3	93	99	96	94.5	97.5	93	99	1
OVERALL	400	ranked_thl_0.5	no.imputation	96	3	93	99	96	94.5	97.5	93	99	1
OVERALL	500	ranked_thl_0.5	no.imputation	96	3	93	99	96	94.5	97.5	93	99	1
OVERALL	1000	ranked_thl_0.5	no.imputation	96	3	93	99	96	94.5	97.5	93	99	1
OVERALL	15454	ranked_thl_0.5	no.imputation	96	3	93	99	96	94.5	97.5	93	99	1
north	50	ranked_thl_0.5	no.imputation	95	1.67	90	100	95	90	100	93.33	96.67	2
north	100	ranked_thl_0.5	no.imputation	99	1	90	100	100	100	100	98	100	2
north	200	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	2
north	300	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	2
north	400	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	2
north	500	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	2
north	1000	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	2
north	15454	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	2
south	50	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	2
south	100	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	2
south	200	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	2
south	300	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	2
south	400	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	2
south	500	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	2
south	1000	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	2
south	15454	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	2
OVERALL	50	ranked_thl_0.5	no.imputation	97.5	2.5	95	100	97.5	96.25	98.75	95	100	2
OVERALL	100	ranked_thl_0.5	no.imputation	99.5	0.5	99	100	99.5	99.25	99.75	99	100	2
OVERALL	200	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	2
OVERALL	300	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	2
OVERALL	400	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	2
OVERALL	500	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	2
OVERALL	1000	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	2
OVERALL	15454	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	2
north	50	ranked_thl_0.5	no.imputation	98	1.33	90	100	100	100	100	96.67	99.33	3
north	100	ranked_thl_0.5	no.imputation	98	1.33	90	100	100	100	100	96.67	99.33	3
north	200	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	3
north	300	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	3
north	400	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	3
north	500	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	3
north	1000	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	3
north	15454	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	3
south	50	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	3
south	100	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	3
south	200	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	3
south	300	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	3
south	400	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	3
south	500	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	3
south	1000	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	3
south	15454	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	3
OVERALL	50	ranked_thl_0.5	no.imputation	99	1	98	100	99	98.5	99.5	98	100	3
OVERALL	100	ranked_thl_0.5	no.imputation	99	1	98	100	99	98.5	99.5	98	100	3
OVERALL	200	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	3
OVERALL	300	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	3
OVERALL	400	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	3
OVERALL	500	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	3
OVERALL	1000	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	3
OVERALL	15454	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	3
north	50	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	4
north	100	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	4
north	200	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	4
north	300	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	4
north	400	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	4
north	500	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	4
north	1000	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	4
north	15454	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	4
south	50	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	4
south	100	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	4
south	200	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	4
south	300	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	4
south	400	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	4
south	500	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	4
south	1000	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	4
south	15454	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	4
OVERALL	50	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	4
OVERALL	100	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	4
OVERALL	200	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	4
OVERALL	300	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	4
OVERALL	400	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	4
OVERALL	500	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	4
OVERALL	1000	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	4
OVERALL	15454	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	4
north	50	ranked_thl_0.5	no.imputation	95	1.67	90	100	95	90	100	93.33	96.67	5
north	100	ranked_thl_0.5	no.imputation	95	1.67	90	100	95	90	100	93.33	96.67	5
north	200	ranked_thl_0.5	no.imputation	97	1.53	90	100	100	92.5	100	95.47	98.53	5
north	300	ranked_thl_0.5	no.imputation	96	1.63	90	100	100	90	100	94.37	97.63	5
north	400	ranked_thl_0.5	no.imputation	98	1.33	90	100	100	100	100	96.67	99.33	5
