INDIVIDUALS	CURRENT	INFERRED	SCORE	SECOND_BEST_POP	SECOND_BEST_SCORE	MARKER_NUMBER	METHOD	MISSING_DATA	ITERATIONS	SUBSAMPLE
BDB20	north	north	100	south	0	50	ranked_thl_0.5	no.imputation	1	1
BDB20	north	north	100	south	0	50	ranked_thl_0.5	no.imputation	3	1
BDB20	north	north	100	south	0	50	ranked_thl_0.5	no.imputation	4	1
BDB20	north	north	100	south	0	50	ranked_thl_0.5	no.imputation	5	1
BDB20	north	north	100	south	0	50	ranked_thl_0.5	no.imputation	6	1
BDB20	north	north	100	south	0	100	ranked_thl_0.5	no.imputation	1	1
BDB20	north	north	100	south	0	100	ranked_thl_0.5	no.imputation	3	1
BDB20	north	north	100	south	0	100	ranked_thl_0.5	no.imputation	4	1
BDB20	north	north	100	south	0	100	ranked_thl_0.5	no.imputation	5	1
BDB20	north	north	100	south	0	100	ranked_thl_0.5	no.imputation	6	1
BDB20	north	north	100	south	0	200	ranked_thl_0.5	no.imputation	1	1
BDB20	north	north	100	south	0	200	ranked_thl_0.5	no.imputation	3	1
BDB20	north	north	100	south	0	200	ranked_thl_0.5	no.imputation	4	1
BDB20	north	north	100	south	0	200	ranked_thl_0.5	no.imputation	5	1
BDB20	north	north	100	south	0	200	ranked_thl_0.5	no.imputation	6	1
BDB20	north	north	100	south	0	300	ranked_thl_0.5	no.imputation	1	1
BDB20	north	north	100	south	0	300	ranked_thl_0.5	no.imputation	3	1
BDB20	north	north	100	south	0	300	ranked_thl_0.5	no.imputation	4	1
BDB20	north	north	100	south	0	300	ranked_thl_0.5	no.imputation	5	1
BDB20	north	north	100	south	0	300	ranked_thl_0.5	no.imputation	6	1
BDB20	north	north	100	south	0	400	ranked_thl_0.5	no.imputation	1	1
BDB20	north	north	100	south	0	400	ranked_thl_0.5	no.imputation	3	1
BDB20	north	north	100	south	0	400	ranked_thl_0.5	no.imputation	4	1
BDB20	north	north	100	south	0	400	ranked_thl_0.5	no.imputation	5	1
BDB20	north	north	100	south	0	400	ranked_thl_0.5	no.imputation	6	1
BDB20	north	north	100	south	0	500	ranked_thl_0.5	no.imputation	1	1
BDB20	north	north	100	south	0	500	ranked_thl_0.5	no.imputation	3	1
BDB20	north	north	100	south	0	500	ranked_thl_0.5	no.imputation	4	1
BDB20	north	north	100	south	0	500	ranked_thl_0.5	no.imputation	5	1
BDB20	north	north	100	south	0	500	ranked_thl_0.5	no.imputation	6	1
BDB20	north	north	100	south	0	1000	ranked_thl_0.5	no.imputation	1	1
BDB20	north	north	100	south	0	1000	ranked_thl_0.5	no.imputation	3	1
BDB20	north	north	100	south	0	1000	ranked_thl_0.5	no.imputation	4	1
BDB20	north	north	100	south	0	1000	ranked_thl_0.5	no.imputation	5	1
BDB20	north	north	100	south	0	1000	ranked_thl_0.5	no.imputation	6	1
BDB20	north	north	100	south	0	15454	ranked_thl_0.5	no.imputation	1	1
BDB20	north	north	100	south	0	15454	ranked_thl_0.5	no.imputation	3	1
BDB20	north	north	100	south	0	15454	ranked_thl_0.5	no.imputation	4	1
BDB20	north	north	100	south	0	15454	ranked_thl_0.5	no.imputation	5	1
BDB20	north	north	100	south	0	15454	ranked_thl_0.5	no.imputation	6	1
CLH12	north	north	100	south	0	50	ranked_thl_0.5	no.imputation	4	1
CLH12	north	north	100	south	0	50	ranked_thl_0.5	no.imputation	7	1
CLH12	north	north	100	south	0	100	ranked_thl_0.5	no.imputation	4	1
CLH12	north	north	100	south	0	100	ranked_thl_0.5	no.imputation	7	1
CLH12	north	north	100	south	0	200	ranked_thl_0.5	no.imputation	4	1
CLH12	north	north	100	south	0	200	ranked_thl_0.5	no.imputation	7	1
CLH12	north	north	100	south	0	300	ranked_thl_0.5	no.imputation	4	1
CLH12	north	north	100	south	0	300	ranked_thl_0.5	no.imputation	7	1
CLH12	north	north	100	south	0	400	ranked_thl_0.5	no.imputation	4	1
CLH12	north	north	100	south	0	400	ranked_thl_0.5	no.imputation	7	1
CLH12	north	north	100	south	0	500	ranked_thl_0.5	no.imputation	4	1
CLH12	north	north	100	south	0	500	ranked_thl_0.5	no.imputation	7	1
CLH12	north	north	100	south	0	1000	ranked_thl_0.5	no.imputation	4	1
CLH12	north	north	100	south	0	1000	ranked_thl_0.5	no.imputation	7	1
CLH12	north	north	100	south	0	15454	ranked_thl_0.5	no.imputation	4	1
CLH12	north	north	100	south	0	15454	ranked_thl_0.5	no.imputation	7	1
CLH15	north	north	100	south	0	50	ranked_thl_0.5	no.imputation	1	1
CLH15	north	north	100	south	0	50	ranked_thl_0.5	no.imputation	3	1
CLH15	north	north	100	south	0	50	ranked_thl_0.5	no.imputation	6	1
CLH15	north	north	100	south	0	50	ranked_thl_0.5	no.imputation	8	1
CLH15	north	north	100	south	0	50	ranked_thl_0.5	no.imputation	10	1
CLH15	north	north	100	south	0	100	ranked_thl_0.5	no.imputation	1	1
CLH15	north	north	100	south	0	100	ranked_thl_0.5	no.imputation	3	1
CLH15	north	north	100	south	0	100	ranked_thl_0.5	no.imputation	6	1
CLH15	north	north	100	south	0	100	ranked_thl_0.5	no.imputation	8	1
CLH15	north	north	100	south	0	100	ranked_thl_0.5	no.imputation	10	1
CLH15	north	north	100	south	0	200	ranked_thl_0.5	no.imputation	1	1
CLH15	north	north	100	south	0	200	ranked_thl_0.5	no.imputation	3	1
CLH15	north	north	100	south	0	200	ranked_thl_0.5	no.imputation	6	1
CLH15	north	north	100	south	0	200	ranked_thl_0.5	no.imputation	8	1
CLH15	north	north	100	south	0	200	ranked_thl_0.5	no.imputation	10	1
CLH15	north	north	100	south	0	300	ranked_thl_0.5	no.imputation	1	1
CLH15	north	north	100	south	0	300	ranked_thl_0.5	no.imputation	3	1
CLH15	north	north	100	south	0	300	ranked_thl_0.5	no.imputation	6	1
CLH15	north	north	100	south	0	300	ranked_thl_0.5	no.imputation	8	1
CLH15	north	north	100	south	0	300	ranked_thl_0.5	no.imputation	10	1
CLH15	north	north	100	south	0	400	ranked_thl_0.5	no.imputation	1	1
CLH15	north	north	100	south	0	400	ranked_thl_0.5	no.imputation	3	1
CLH15	north	north	100	south	0	400	ranked_thl_0.5	no.imputation	6	1
CLH15	north	north	100	south	0	400	ranked_thl_0.5	no.imputation	8	1
CLH15	north	north	100	south	0	400	ranked_thl_0.5	no.imputation	10	1
CLH15	north	north	100	south	0	500	ranked_thl_0.5	no.imputation	1	1
CLH15	north	north	100	south	0	500	ranked_thl_0.5	no.imputation	3	1
CLH15	north	north	100	south	0	500	ranked_thl_0.5	no.imputation	6	1
CLH15	north	north	100	south	0	500	ranked_thl_0.5	no.imputation	8	1
CLH15	north	north	100	south	0	500	ranked_thl_0.5	no.imputation	10	1
CLH15	north	north	100	south	0	1000	ranked_thl_0.5	no.imputation	1	1
CLH15	north	north	100	south	0	1000	ranked_thl_0.5	no.imputation	3	1
