MARKERS	FST	RANKING	QUARTILE
1_00009869_00789507	0.881657	1	10
1_00012723_01017782	0.86762	2	10
1_00012723_01017804	0.86762	3	10
1_00012723_01017805	0.86762	4	10
1_00022241_01779281	0.832041	5	10
1_00018755_01500393	0.814271	6	10
1_00018755_01500395	0.814271	7	10
1_00005760_00460758	0.809357	8	10
1_00016363_01308982	0.794712	9	10
1_00016363_01308984	0.794712	10	10
1_00016363_01308994	0.794712	11	10
1_00016363_01309025	0.794712	12	10
1_00018242_01459295	0.775051	13	10
1_00018755_01500335	0.768234	14	10
1_00018755_01500353	0.768234	15	10
1_00005841_00467220	0.749219	16	10
1_00005188_00414987	0.725926	17	10
1_00005841_00467263	0.690476	18	10
1_00016776_01342058	0.690476	19	10
1_00019280_01542371	0.688325	20	10
1_00011471_00917638	0.68254	21	10
1_00022473_01797820	0.681101	22	10
1_00015097_01207739	0.679166	23	10
1_00005188_00415007	0.674603	24	10
1_00022473_01797823	0.674603	25	10
1_00008581_00686432	0.666599	26	10
1_00008581_00686439	0.666599	27	10
1_00008581_00686441	0.666599	28	10
1_00008581_00686477	0.666599	29	10
1_00007299_00583849	0.662835	30	10
1_00009668_00773375	0.659646	31	10
1_00002699_00215852	0.65625	32	10
1_00008294_00663494	0.655172	33	10
1_00012903_01032235	0.655172	34	10
1_00018160_01452790	0.655172	35	10
1_00018563_01485012	0.655172	36	10
1_00018563_01485024	0.655172	37	10
1_00006416_00513215	0.647147	38	10
1_00016023_01281821	0.647147	39	10
1_00022156_01772461	0.647147	40	10
1_00022156_01772471	0.647147	41	10
1_00009226_00738059	0.642058	42	10
1_00004185_00334778	0.63964	43	10
1_00004185_00334795	0.63964	44	10
1_00022913_01833017	0.63964	45	10
1_00001638_00131032	0.632479	46	10
1_00008717_00697334	0.632479	47	10
1_00008717_00697351	0.632479	48	10
1_00017236_01378861	0.632479	49	10
1_00019704_01576276	0.632479	50	10
1_00006257_00500507	0.632132	51	10
1_00000169_00013521	0.624406	52	10
1_00005347_00427760	0.623932	53	10
1_00008104_00648259	0.621164	54	10
1_00004693_00375436	0.61918	55	10
1_00004693_00375439	0.61918	56	10
1_00000352_00028093	0.614795	57	10
1_00000352_00028096	0.614795	58	10
1_00004026_00322074	0.614795	59	10
1_00017916_01433261	0.610831	60	10
1_00019222_01537712	0.608483	61	10
1_00017088_01367009	0.607843	62	10
1_00005777_00462140	0.599673	63	10
1_00009260_00740800	0.599673	64	10
1_00010920_00873554	0.599673	65	10
1_00011183_00894608	0.599673	66	10
1_00015060_01204782	0.599673	67	10
1_00006233_00498570	0.591503	68	10
1_00006233_00498594	0.591503	69	10
1_00006233_00498616	0.591503	70	10
1_00014100_01127961	0.591503	71	10
1_00015126_01210066	0.591503	72	10
1_00021870_01749537	0.591503	73	10
1_00022942_01835316	0.591503	74	10
1_00018351_01468066	0.587302	75	10
